,Product name in Flipkart,Retail Price in Flipkart,Discounted Price in Flipkart,Product name in Amazon,Retail Price in Amazon,Discounted Price in Amazon
1226,SWAGGA Women Clogs,1500.0,1500.0,Simitoes Women Clogs,986.0,510.0
1227,Adidas Women Sports Sandals,2599.0,2209.0,Asian Women Sports Sandals,485.0,624.0
1228,Candy House Solid Men's Polo Neck T-Shirt,2999.0,999.0,Candy House Solid Men's Polo Neck T-Shirt,2490.0,990.0
1229,Candy House Solid Men's Polo Neck T-Shirt,2499.0,799.0,Candy House Solid Men's Polo Neck T-Shirt,2997.0,1124.0
1230,SKI WINNER GIFT SET PINK02 2 Containers Lunch Box,249.0,199.0,SKI WINNER GIFT SET SKYBLUE02 2 Containers Lunch Box,242.0,244.0
1231,VITAMINS Casual Sleeveless Embellished Baby Girl's Top,729.0,729.0,VITAMINS Casual Sleeveless Embellished Baby Girl's Top,726.0,908.0
1232,Mxofere Combo Orange Soap And Aloevera Lemon Facewash Kit,285.0,285.0,Avon Fairness Exfoliation Face Wash and Anti-marks Cream,311.0,386.0
1233,MODWARE HAPPINESS 1 Containers Lunch Box,599.0,299.0,GAYATRI CREATIONS ORANGE KIDS SET 2 Containers Lunch Box,683.0,490.0
1234,Candy House Solid Men's Polo Neck T-Shirt,2499.0,799.0,Candy House Solid Men's Polo Neck T-Shirt,2997.0,1284.0
1235,Candy House Solid Men's Polo Neck T-Shirt,2499.0,799.0,Candy House Solid Men's Polo Neck T-Shirt,2987.0,1199.0
1236,Rockmantra Colorful Ceramic Mug,499.0,199.0,Caffeine Handmade Tribal Print Influenced Katori Bowl (Set of 2) Stoneware Bowl Set,2985.0,839.0
1237,Candy House Solid Men's Polo Neck T-Shirt,2499.0,799.0,Candy House Solid Men's Polo Neck T-Shirt,2997.0,1099.0
1238,"VIVIANA Nail Paint, Lipstick",697.0,499.0,"VIVIANA Nail Paint, Lipstick",681.0,647.0
1239,SKI LOCK SEAL GIFT SET 550 YELLOW02 2 Containers Lunch Box,299.0,249.0,SKI LOCK SEAL GIFT SET 550 PURPLE02 2 Containers Lunch Box,295.0,298.0
1240,Candy House Solid Men's Polo Neck T-Shirt,2999.0,999.0,Candy House Solid Men's Polo Neck T-Shirt,2495.0,887.0
1241,Candy House Solid Men's Polo Neck T-Shirt,2999.0,999.0,Candy House Solid Men's Polo Neck T-Shirt,2993.0,1291.0
1242,Candy House Solid Men's Polo Neck T-Shirt,2999.0,999.0,Candy House Solid Men's Polo Neck T-Shirt,2989.0,1136.0
1243,VITAMINS Casual Sleeveless Embellished Baby Girl's Top,729.0,729.0,VITAMINS Casual Sleeveless Embellished Baby Girl's Top,724.0,872.0
1244,Candy House Solid Men's Polo Neck T-Shirt,2999.0,999.0,Candy House Solid Men's Polo Neck T-Shirt,2482.0,882.0
1245,Candy House Solid Men's Polo Neck T-Shirt,2999.0,999.0,Candy House Solid Men's Polo Neck T-Shirt,2998.0,1230.0
1246,Shoetopia Girls Sandals,499.0,399.0,VAGON Girls Sandals,988.0,595.0
1247,Prime Printed 8 Seater Table Cover,2000.0,799.0,Prime Printed 8 Seater Table Cover,1985.0,992.0
1248,Candy House Solid Men's Polo Neck T-Shirt,2999.0,999.0,Candy House Solid Men's Polo Neck T-Shirt,2989.0,1243.0
1249,Adidas Women Sports Sandals,2599.0,2209.0,Dutch Benson Women Sandals,686.0,499.0
1250,Candy House Solid Men's Polo Neck T-Shirt,2999.0,999.0,Candy House Solid Men's Polo Neck T-Shirt,2989.0,1266.0
1251,Candy House Solid Men's Polo Neck T-Shirt,2999.0,999.0,Candy House Solid Men's Polo Neck T-Shirt,2989.0,1128.0
1252,Candy House Solid Men's Polo Neck T-Shirt,2999.0,999.0,Candy House Solid Men's Polo Neck T-Shirt,2986.0,1164.0
1253,Candy House Solid Men's Polo Neck T-Shirt,2999.0,999.0,Candy House Solid Men's Polo Neck T-Shirt,2998.0,1209.0
1254,Prime Printed 4 Seater Table Cover,1000.0,499.0,Prime Printed 4 Seater Table Cover,996.0,636.0
1255,Angel Glitter School Bag,600.0,300.0,Pandora Kids School Bag - Twity Face Bag (MultiColor) 12 L Backpack,797.0,304.0
1256,Prime Printed 6 Seater Table Cover,1800.0,849.0,Prime Printed 6 Seater Table Cover,1788.0,947.0
1257,Milton School 1000 ml Water Bottle,277.0,249.0,Garnet Traveller 1500 ml Bottle,591.0,514.0
1258,Blue Birds Usa Homeware Stainless Steel 1000 ml Bottle,1500.0,749.0,Blue Birds USA Homeware Aluminium water bottle 750 ml Bottle,1482.0,888.0
1259,Fabpoppy Printed Women's Jumpsuit,999.0,599.0,W.A.Y Embellished Women's Jumpsuit,4593.0,2802.0
1260,medha Women's Multicolor Leggings,2399.0,999.0,Lakos Women's Multicolor Leggings,1521.0,1578.0
1261,Blue Birds USA Homeware Aluminium water bottle 750 ml Bottle,1500.0,749.0,Blue Birds Usa Homeware Stainless Steel 1000 ml Bottle,1481.0,941.0
1262,Mxofere Combo Rose Soap And Aloevera Lemon Facewash Kit,285.0,285.0,Dr. Thapar's Beard Wash With Aloevera,182.0,149.0
1263,Craftshraft Shoulder Bag,650.0,249.0,X-WELL Shoulder Bag,896.0,357.0
1264,GAJ IMPEX Acrylic Bangle Set,699.0,466.0,GAJ IMPEX Acrylic Bangle Set,646.0,496.0
1265,Speedwav 240461 Sun Shade For Maruti 800,1400.0,358.0,Speedwav 240450 Sun Shade For Maruti WagonR,1388.0,414.0
1266,Speedwav 240404 Sun Shade For Fiat Punto,1400.0,358.0,Speedwav 240403 Sun Shade For Fiat Punto,1398.0,432.0
1267,FS Mini Klub Printed Baby Girl's Basic Shorts,549.0,549.0,FS Mini Klub Printed Baby Girl's Basic Shorts,637.0,821.0
1268,Speedwav 240437 Sun Shade For Hyundai i10,1400.0,358.0,Speedwav 240371 Sun Shade For Hyundai Creta,1395.0,422.0
1269,Speedwav 240450 Sun Shade For Maruti WagonR,1400.0,358.0,Speedwav 240428 Sun Shade For Maruti Swift,1396.0,464.0
1270,Speedo Logo Panel Aquashort Graphic Print Men's,1399.0,1399.0,Speedo Men's Swimsuit,680.0,900.0
1271,"Shopfloor.XYZ Vacuum Cleaner for Computers, Laptops, Mobiles",399.0,269.0,SHEFFIELD CLASSIC SH-83-VC1 Hand-held Vacuum Cleaner,4177.0,2011.0
1272,Speedwav 240350 Sun Shade For Tata Indigo CS,1400.0,358.0,Speedwav 240318 Sun Shade For Tata Grand Dicor,1394.0,405.0
1273,Speedwav 240439 Sun Shade For Chevrolet Beat,1400.0,358.0,Speedwav 240325 Sun Shade For Chevrolet Captiva,1392.0,458.0
1274,Speedwav 240411 Sun Shade For Honda Jazz,1400.0,358.0,Speedwav 240306 Sun Shade For Honda Accord,1397.0,398.0
1275,Speedwav 240461 Sun Shade For Maruti 800,1400.0,358.0,Speedwav 240459 Sun Shade For Maruti Omni,1397.0,455.0
1276,Speedwav 240420 Sun Shade For Ford Figo,1400.0,358.0,Speedwav 240421 Sun Shade For Ford Figo,1394.0,448.0
1277,Speedwav 240450 Sun Shade For Maruti WagonR,1400.0,358.0,Speedwav 240408 Sun Shade For Volkswagen Polo,1387.0,409.0
1278,Speedwav 240342 Sun Shade For Mahindra Scorpio,1400.0,358.0,Speedwav 240322 Sun Shade For Mahindra XUV 500,1387.0,417.0
1279,Speedwav 240322 Sun Shade For Mahindra XUV 500,1400.0,358.0,Speedwav 240342 Sun Shade For Mahindra Scorpio,1397.0,433.0
1280,Speedwav 240371 Sun Shade For Hyundai Creta,1400.0,358.0,Speedwav 240319 Sun Shade For Toyota Corolla Altis,1388.0,396.0
1281,FS Mini Klub Printed Baby Girl's Basic Shorts,649.0,649.0,FS Mini Klub Printed Baby Girl's Basic Shorts,548.0,639.0
1282,Speedwav 240306 Sun Shade For Honda Accord,1400.0,358.0,Speedwav 240411 Sun Shade For Honda Jazz,1385.0,448.0
1283,Speedwav 240439 Sun Shade For Chevrolet Beat,1400.0,358.0,Speedwav 240440 Sun Shade For Chevrolet Spark,1391.0,411.0
1284,DEBOCK DEBOCK Earphone For HTC Desire 320 Stereo Dynamic Headphone Wired Headphones,899.0,320.0,DEBOCK DEBOCK Earphone For Samsung galaxy s advance i9070 Stereo Dynamic Headphone Wired Headphones,897.0,363.0
1285,Speedwav 240362 Sun Shade For Renault Duster,1400.0,358.0,Speedwav 240363 Sun Shade For Renault Duster,1386.0,424.0
1286,FS Mini Klub Printed Baby Girl's Basic Shorts,649.0,649.0,FS Mini Klub Printed Baby Girl's Basic Shorts,494.0,587.0
1287,Speedwav 240421 Sun Shade For Ford Figo,1400.0,358.0,Speedwav 240420 Sun Shade For Ford Figo,1388.0,413.0
1288,Speedwav 240371 Sun Shade For Hyundai Creta,1400.0,358.0,Speedwav 240437 Sun Shade For Hyundai i10,1390.0,417.0
1289,Speedwav 240318 Sun Shade For Tata Grand Dicor,1400.0,358.0,Speedwav 240350 Sun Shade For Tata Indigo CS,1384.0,452.0
1290,Speedwav 240363 Sun Shade For Renault Duster,1400.0,358.0,Speedwav 240362 Sun Shade For Renault Duster,1384.0,427.0
1291,Speedwav 240460 Sun Shade For Maruti 800,1400.0,358.0,Speedwav 240461 Sun Shade For Maruti 800,1391.0,447.0
1292,Vitamins Solid Baby Girl's Basic Shorts,529.0,529.0,Vitamins Solid Baby Girl's Basic Shorts,517.0,653.0
1293,DEBOCK DEBOCK Earphone For Samsung galaxy s advance i9070 Stereo Dynamic Headphone Wired Headphones,899.0,320.0,DEBOCK DEBOCK Earphone For HTC Desire 320 Stereo Dynamic Headphone Wired Headphones,884.0,379.0
1294,Speedwav 240461 Sun Shade For Maruti 800,1400.0,358.0,Speedwav 240460 Sun Shade For Maruti 800,1391.0,394.0
1295,Speedwav 240403 Sun Shade For Fiat Punto,1400.0,358.0,Speedwav 240404 Sun Shade For Fiat Punto,1395.0,450.0
1296,Speedwav 240404 Sun Shade For Fiat Punto,1400.0,358.0,Speedwav 240327 Sun Shade For Fiat Linea,1386.0,429.0
1297,Vitamins Solid Baby Girl's Basic Shorts,529.0,529.0,Vitamins Graphic Print Baby Girl's Basic Shorts,515.0,603.0
1298,Vitamins Graphic Print Baby Girl's Basic Shorts,529.0,529.0,Vitamins Embroidered Baby Girl's Denim Shorts,944.0,1083.0
1299,Vitamins Solid Baby Girl's Basic Shorts,529.0,529.0,Vitamins Solid Baby Girl's Basic Shorts,517.0,648.0
1300,Speedo Monogram Aquashort Graphic Print Men's,1049.0,1049.0,Speedo Logo Panel Aquashort Graphic Print Men's,1390.0,1554.0
1301,FS Mini Klub Printed Baby Girl's Basic Shorts,649.0,649.0,FS Mini Klub Printed Baby Girl's Basic Shorts,536.0,616.0
1302,Speedwav 240325 Sun Shade For Chevrolet Captiva,1400.0,358.0,Speedwav 240439 Sun Shade For Chevrolet Beat,1382.0,434.0
1303,"Kalakruti K Jewellery B Jewelry box, Makeup Vanity Multi Purpose",600.0,480.0,KE GIFT BOX STOR JEWELLARY Vanity Jewellery,387.0,437.0
1304,Kartique Hand Made Box in smooth Finish with Glass Lid Jewellery Box Vanity Jewellery,360.0,345.0,Kartique Handmade Wooden Box for Women Jewel Organizer Square Anchor D̩cor Jewellery Box Vanity Jewellery,314.0,325.0
1305,Regan Wheel Pizza Cutter,78.0,70.0,DARPAN Excellent Right Hand commercial Scissors,885.0,663.0
1306,Kartique Handmade Wooden Box for Women Jewel Organizer Square Anchor D̩cor Jewellery Box Vanity Jewellery,320.0,290.0,Kartique Hand Made Box in smooth Finish with Glass Lid Jewellery Box Vanity Jewellery,350.0,401.0
1307,Incolor Metalic Lipstick N15 3.8 g,210.0,210.0,Giorgio Armani SMOOTH SILK LIP PENCIL 12,1796.0,2219.0
1308,Rosepetal Cotton Floral Diwan Set,2099.0,936.0,Jaipur Print Cotton Floral Diwan Set,3997.0,2239.0
1309,Silvesto India Stone Pendant,1100.0,550.0,Silvesto India Stone Pendant,1099.0,685.0
1310,The Fine World Metal Zircon Yellow Gold Bracelet,3289.0,2649.0,Gehna Yellow Gold Zircon Silver Pendant,880.0,721.0
1311,Golden Peacock Cubic Zirconia 24K Yellow Gold Plated Alloy Necklace,899.0,349.0,"Kirati Flower Design 14K Yellow Gold Garnet, Cubic Zirconia Sterling Silver Pendant",3349.0,2643.0
1312,Silvesto India Stone Pendant,1100.0,550.0,Silvesto India Stone Pendant,1094.0,638.0
1313,3kFactory Baby Shower Cap- Purple,399.0,174.0,florence9 baby cap red checks Cap,789.0,516.0
1314,Calgari Casual Full Sleeve Printed Women's Top,699.0,699.0,Vastrani Casual Full Sleeve Printed Women's Top,1580.0,551.0
1315,Medoo Women's Leggings,1099.0,349.0,Mothercare Leggings,1285.0,1178.0
1316,Steelseries Siberia 200 Wired Headset,6999.0,5999.0,Steelseries Siberia 200 Wired Headset,6982.0,6637.0
1317,Speedwav 232358 Hood Car Sticker,2700.0,984.0,Speedwav 232305 Hood Car Sticker,2684.0,1270.0
1318,Printland PMR1332 Ceramic Mug,650.0,299.0,Techware Microwavable Tea Cups WF13115 - Purple WF13115 - P,-2.0,0.0
1319,VarEesha Wooden Key Holder,899.0,599.0,VarEesha Wooden Key Holder,1592.0,1428.0
1320,VarEesha Wooden Key Holder,1599.0,1199.0,AND Designs Artistic Wooden Key Holder Wooden Key Holder,481.0,357.0
1321,Speedwav 232305 Hood Car Sticker,2700.0,984.0,Speedwav 232358 Hood Car Sticker,2689.0,1212.0
1322,PROBOTT Sports 500 ml Water Bottle,699.0,685.0,Platex Classy 1000 ml Bottle,835.0,492.0
1323,BONHEUR Casual Full Sleeve Floral Print Women's Top,1199.0,799.0,BONHEUR Casual 3/4 Sleeve Floral Print Women's Top,1282.0,992.0
1324,PeepalComm Multi Purpose 11 Function Multi Utility Swiss Knife,599.0,349.0,Stealodeal Grand Harvest 11 Function Multi Utility Swiss Knife,489.0,345.0
1325,Zevrr Sterling Silver Swarovski Zirconia Platinum NA K Ring,3344.0,1337.0,Zevrr Sterling Silver Swarovski Zirconia Platinum NA K Ring,4777.0,2317.0
1326,T THREE SLIM Fit Girl's Jeans,730.0,560.0,Kitts N Nevis Slim Fit Girl's Jeans,964.0,913.0
1327,"Unique Fashion Self Design Girl's Lehenga, Choli and Dupatta Set",2999.0,799.0,fashion bazar Self Design Women's Lehenga Choli,4993.0,1867.0
1328,"Unique Fashion Self Design Girl's Lehenga, Choli and Dupatta Set",2999.0,799.0,"Sohardhastshilp Self Design Women's Lehenga, Choli and Dupatta Set",1983.0,2001.0
1329,Fashion205 Casual 3/4 Sleeve Printed Women's Top,1050.0,420.0,Philigree Casual 3/4 Sleeve Printed Women's Top,482.0,601.0
1330,Printland PMBA1299 Ceramic Mug,650.0,299.0,Noritake Carnivale Mug MUGM25091058C,1084.0,1296.0
1331,Akshyavat 055 Decorative Bottle,700.0,525.0,Rastogi Handicrafts JOINT LESS LEAK PROOF DECORATIVE 950 ml Bottle,1593.0,1368.0
1332,UMA TRADERS Chanderi Embroidered Semi-stitched Salwar Suit Dupatta Material,1999.0,849.0,UMA TRADERS Cotton Embroidered Semi-stitched Salwar Suit Dupatta Material,2480.0,1252.0
1333,Edimax AR-7182WNA,2500.0,1500.0,CraftGhar X-02-EW-B-147-E.,2824.0,2312.0
1334,Malabar Gold and Diamonds HBDAAAABLZLD Gold Emerald 22 K Ring,5373.0,5373.0,Malabar Gold and Diamonds HBDAAAABLZJM Gold Ruby 22 K Ring,11776.0,13985.0
1335,UMA TRADERS Cotton Embroidered Semi-stitched Salwar Suit Dupatta Material,2499.0,999.0,UMA TRADERS Chanderi Embroidered Semi-stitched Salwar Suit Dupatta Material,1996.0,996.0
1336,Creez Printed Women's Abstract Fractal Print Capri Tights,1499.0,899.0,Maped Twist and Flex Transparent Rubber Rulers,46.0,54.0
1337,Wildcraft Digital Pouch Travel Bag,395.0,395.0,Dealcrox Kangaroo Keeper Bags Organizer,793.0,600.0
1338,Action Shoes Slippers,349.0,349.0,Action Shoes Slippers,333.0,419.0
1339,fourgee Slim Fit Women's Blue Jeans,2000.0,588.0,fourgee Slim Fit Girl's Jeans,1995.0,667.0
1340,VIHA Net Embroidered Semi-stitched Salwar Suit Dupatta Material,4999.0,2699.0,VIHA Net Embroidered Semi-stitched Salwar Suit Dupatta Material,4995.0,3383.0
1341,Rasav Jewels Yellow Gold Diamond 18 K Ring,30461.0,21323.0,Rasav Jewels Yellow Gold Diamond 18 K Ring,25602.0,22364.0
1342,Speedwav 232358 Hood Car Sticker,2700.0,984.0,Speedwav 232241 Hood Car Sticker,2684.0,1196.0
1343,Reinvent Casual Short Sleeve Self Design Women's Top,1999.0,1999.0,Reinvent Casual Short Sleeve Self Design Women's Top,791.0,1022.0
1344,Clodentity Printed Women's Tunic,1599.0,575.0,BUMPKIN Printed Women's Tunic,2130.0,1188.0
1345,Miss Wow Slim Fit Women's Blue Jeans,999.0,499.0,fashion point SLIM Fit Girl's Jeans,1487.0,1036.0
1346,VIHA Net Embroidered Semi-stitched Salwar Suit Dupatta Material,4999.0,2699.0,VIHA Net Embroidered Semi-stitched Salwar Suit Dupatta Material,4983.0,3120.0
1347,Action Shoes Slippers,349.0,349.0,Action Shoes Flip Flops,247.0,298.0
1348,Frabjous Sterling Silver Toe Ring Set,1099.0,599.0,Frabjous Sterling Silver Toe Ring Set,1090.0,759.0
1349,Frabjous Sterling Silver Toe Ring Set,1099.0,599.0,Frabjous Sterling Silver Toe Ring Set,1084.0,689.0
1350,Action Shoes Slippers,349.0,349.0,Action Shoes Slippers,339.0,398.0
1351,Malabar Gold and Diamonds HBDAAAABLZJM Gold Ruby 22 K Ring,11786.0,11786.0,Malabar Gold and Diamonds HBDAAAABLZLD Gold Emerald 22 K Ring,5353.0,6328.0
1352,People Casual Short Sleeve Printed Women's Top,699.0,419.0,Oner Casual Short Sleeve Printed Women's Top,281.0,384.0
1353,Rasav Jewels Yellow Gold Diamond 18 K Ring,25603.0,17923.0,Rasav Jewels Yellow Gold Diamond 18 K Ring,30459.0,25437.0
1354,Zevrr Sterling Silver Swarovski Zirconia Platinum NA K Ring,4789.0,1915.0,Zevrr Sterling Silver Swarovski Zirconia Platinum NA K Ring,3341.0,1648.0
1355,Rasav Jewels Yellow Gold Diamond 18 K Ring,25603.0,17923.0,Rasav Jewels Yellow Gold Diamond 18 K Ring,42122.0,36063.0
1356,BONHEUR Casual Full Sleeve Floral Print Women's Top,1199.0,799.0,BONHEUR Casual Sleeveless Solid Women's Top,1180.0,935.0
1357,VarEesha Wooden Key Holder,1599.0,1199.0,VarEesha Wooden Key Holder,889.0,706.0
1358,Fashion205 Casual 3/4 Sleeve Printed Women's Top,1050.0,420.0,ENTEASE Casual 3/4 Sleeve Printed Women's Top,1735.0,807.0
1359,Zevrr Sterling Silver Swarovski Zirconia Platinum NA K Ring,4789.0,1915.0,Zevrr Sterling Silver Swarovski Zirconia Platinum NA K Ring,2988.0,1450.0
1360,Frabjous Sterling Silver Toe Ring Set,1099.0,599.0,Frabjous Sterling Silver Toe Ring Set,1086.0,661.0
1361,Reinvent Casual Short Sleeve Self Design Women's Top,799.0,799.0,Reinvent Casual Short Sleeve Self Design Women's Top,1991.0,2473.0
1362,VIHA Net Embroidered Semi-stitched Salwar Suit Dupatta Material,4999.0,2699.0,VIHA Net Embroidered Semi-stitched Salwar Suit Dupatta Material,4995.0,3494.0
1363,Zevrr Sterling Silver Swarovski Zirconia Platinum NA K Ring,4789.0,1915.0,Zevrr Sterling Silver Swarovski Zirconia Platinum NA K Ring,3214.0,1541.0
1364,BONHEUR Casual 3/4 Sleeve Floral Print Women's Top,1299.0,899.0,BONHEUR Casual Full Sleeve Floral Print Women's Top,1182.0,883.0
1365,VIHA Net Embroidered Semi-stitched Salwar Suit Dupatta Material,4999.0,2699.0,VIHA Net Embroidered Semi-stitched Salwar Suit Dupatta Material,4982.0,1691.0
1366,GM Purist 909 English Willow Cricket  Bat,18015.0,14214.0,Puma evoSPEED HPI Willow Cricket  Bat,3979.0,5070.0
1367,Stealodeal Grand Harvest 11 Function Multi Utility Swiss Knife,499.0,299.0,PeepalComm Multi Purpose 11 Function Multi Utility Swiss Knife,584.0,405.0
1368,Steelseries Siberia 200 Wired Headset,6999.0,5999.0,Steelseries Siberia 200 Wired Headset,6987.0,7401.0
1369,Lee Marc Men's Checkered Formal Shirt,2100.0,465.0,Raymond Men's Printed Formal Blue Shirt,1788.0,1473.0
1370,Smart Wall Guru Decorative Wallpaper,1399.0,430.0,BI Classics Wallpaper,4998.0,2991.0
1371,Kiara Backpack,1295.0,448.0,Sumo Baby Walker,1286.0,1095.0
1372,Omic Poto-Blue 1000 ml Sipper,999.0,549.0,Bubi Award Winning Bpa Free Collapsible Silicone 650 ml Sipper,1794.0,1994.0
1373,FS Mini Klub Printed Girl's Denim Shorts,1149.0,1149.0,FS Mini Klub Regular Fit Girl's Jeans,1391.0,1767.0
1374,Craftshraft Shoulder Bag,650.0,249.0,Mast & Harbour Shoulder Bag,2084.0,2476.0
1375,SV Creations Shoulder Bag,1499.0,449.0,Dolphin Product Shoulder Bag,993.0,498.0
1376,IPG Cotton Solid Women's Dupatta,500.0,250.0,IPG Cotton Solid Women's Dupatta,486.0,225.0
1377,Jocular Wood Necklace,799.0,349.0,bohocraft Bohemian Colorful Wooden Beads Adjustable Wood Necklace,190.0,245.0
1378,dgold Beads Stone Necklace,1900.0,690.0,dgold Beads Stone Necklace,3087.0,2233.0
1379,dgold Beads Stone Necklace,3100.0,1890.0,dgold Quartz Stone Necklace,3099.0,1894.0
1380,Selfcare Women's Camisole,600.0,380.0,Selfcare Men's Brief,1242.0,626.0
1381,Ravishing Variety Statue Showpiece  -  17 cm,799.0,500.0,Treasure Showpiece  -  23 cm,681.0,496.0
1382,IPG Cotton Solid Women's Dupatta,500.0,200.0,IPG Cotton Solid Women's Dupatta,491.0,289.0
1383,Dgold Onyx Stone Necklace,1499.0,450.0,Dgold Onyx Stone Necklace Set,2982.0,1741.0
1384,RAA Men's Brief,170.0,170.0,RAA Men's Brief,327.0,306.0
1385,IPG Cotton Solid Women's Dupatta,500.0,200.0,IPG Cotton Solid Women's Dupatta,495.0,313.0
1386,dgold Beads Stone Necklace,3100.0,1890.0,dgold Beads Stone Necklace,1881.0,895.0
1387,"Voylla Rhodium Plated Metal, Alloy Necklace",310.0,270.0,"poonamcreation Zircon Rhodium Plated Alloy, Stone Necklace Set",2996.0,1723.0
1388,Fashion Centre Double Bed Mosquito Net,960.0,960.0,CHINMAY KIDS Printed Cotton Padded Mosquito Net,1473.0,609.0
1389,IPG Cotton Solid Women's Dupatta,500.0,200.0,IPG Cotton Solid Women's Dupatta,488.0,307.0
1390,CHKOKKO Alloy Chain,899.0,599.0,CHKOKKO Chains Alloy Necklace,791.0,570.0
1391,Dgold Onyx Stone Necklace,1499.0,450.0,dgold Spinel Stone Necklace,2980.0,2177.0
1392,Celix ANT4 AM/FM Decorative Zig Zag Aerial Car Antenna - Black Hidden Vehicle Antenna,799.0,345.0,AdroitZ sharkantennawhite604 Amplited Glass Mount Antenna shark design White For Maruti A Star Satellite Vehicle Antenna,597.0,284.0
1393,Hi Look Triangle Enamelled Designer Alloy Necklace,395.0,245.0,"KooKoo Fashion Enamel, Alloy Necklace",792.0,578.0
1394,dgold Beads Stone Necklace,3100.0,1890.0,dgold Citrine Stone Necklace,1580.0,1283.0
1395,IPG Cotton Solid Women's Dupatta,500.0,200.0,IPG Cotton Solid Women's Dupatta,492.0,293.0
1396,dgold Beads Stone Necklace,3100.0,1890.0,dgold Beads Stone Necklace,1847.0,1169.0
1397,R-Lon Men's Brief,999.0,399.0,Dispowear Men's Brief,354.0,453.0
1398,Voylla Yellow Gold Plated Alloy Necklace,499.0,499.0,Voril Fashion Yellow Gold Plated Plastic Necklace,798.0,445.0
1399,cm key 354 Wired USB Tablet Keyboard,999.0,351.0,couponsmall key 343 Wired USB Tablet Keyboard,1002.0,388.0
1400,Dgold Onyx Stone Necklace,1499.0,450.0,dgold Garnet Stone Necklace,2986.0,2156.0
1401,HEAVENLY Dress Baby Boy's  Combo,1700.0,820.0,HEAVENLY Dress Baby Boy's  Combo,1288.0,740.0
1402,Texco Girl's Vest,1099.0,499.0,Texco Girl's Vest,889.0,471.0
1403,"Linzina Casual, Formal Pink Synthetic  Clutch",499.0,275.0,"Linzina Casual, Formal Purple Synthetic  Clutch",497.0,311.0
1404,U & ME Cotton Plastic Diaper Reuseable Pad Small -Blue,350.0,270.0,generic Small Reusable Menstrual Cup,994.0,697.0
1405,Texco Girl's Vest,899.0,399.0,Texco Girl's Vest,1098.0,623.0
1406,"Linzina Casual, Formal Grey, Black Synthetic  Clutch",499.0,275.0,"Linzina Casual, Formal Brown, Black Synthetic  Clutch",497.0,334.0
1407,Griptek Gk-002-14pcSet Double Sided Combination Wrench Set,4100.0,3500.0,Plush SHOPRENCH Double Sided Pipe Wrench Set,981.0,497.0
1408,"Linzina Casual, Formal Purple Synthetic  Clutch",499.0,275.0,"Linzina Casual, Formal Pink Synthetic  Clutch",497.0,307.0
1409,Texco Girl's Vest,899.0,399.0,Texco Girl's Vest,897.0,442.0
1410,The Craftz Terracotta Jewel Set,900.0,725.0,"Linzina Wedding, Party, Festive Gold Pearls, Beads, Stone  Clutch",2492.0,1261.0
1411,"Linzina Casual, Formal Brown, Black Synthetic  Clutch",499.0,275.0,"Linzina Casual, Formal Grey, Black Synthetic  Clutch",483.0,314.0
1412,Mast & Harbour Solid Single Breasted Casual Women's Blazer,2499.0,2499.0,Only Women's Double Breasted,4988.0,5300.0
1413,Ligans NY Women Beige PU Sling Bag,1895.0,1295.0,YBC Women Pink PU Sling Bag,1198.0,1074.0
1414,American Swan Solid Women's Regular Skirt,1799.0,1799.0,iWonder Solid Women's Regular Skirt,681.0,661.0
1415,@home Earthy Wine Net Ceramic Vase,1499.0,1350.0,@home Glass Vase,2291.0,2525.0
1416,eKolhapuri Terracotta Vase,1250.0,500.0,MayurShilpa Paper Vase,582.0,530.0
1417,iWonder Solid Women's Regular Skirt,699.0,549.0,American Swan Solid Women's Regular Skirt,1793.0,2047.0
1418,Finger's Solid Men's Track Pants,1299.0,809.0,Finger's Printed Men's Track Pants,886.0,496.0
1419,TAMBAS Solid Men's Track Pants,849.0,849.0,TAMBAS Solid Men's Track Pants,834.0,1061.0
1420,G Fashion Printed Cotton Women's Harem Pants,827.0,413.0,Nordlich Printed Cotton Women's Harem Pants,1385.0,1711.0
1421,YBC Women Pink PU Sling Bag,1199.0,899.0,Ligans NY Women Beige PU Sling Bag,1885.0,1683.0
1422,TAMBAS Solid Men's Track Pants,849.0,849.0,TAMBAS Solid Men's Track Pants,841.0,970.0
1423,Tops And Tunics Floral Print Women's Regular Skirt,899.0,499.0,Gwyn lingerie Floral Print Women's Gathered Skirt,1195.0,778.0
1424,iWonder Solid Women's Regular Skirt,699.0,549.0,SVT ADA COLLECTIONS Solid Women's Regular Skirt,1394.0,1035.0
1425,Status Quo Solid Men's Track Pants,1399.0,1399.0,GREENWICH Solid Men's Track Pants,590.0,615.0
1426,G Fashion Printed Cotton Women's Harem Pants,827.0,413.0,Zadine Printed Cotton Women's Harem Pants,783.0,344.0
1427,TheLostPuppy Back Cover for Apple iPad Air,2199.0,599.0,"Mobile Makeup Back Cover for Apple iPad Air, Apple iPad Air 5",1287.0,1246.0
1428,Smart Wall Guru Small Adhesive Sticker Sticker,699.0,199.0,Smart Wall Guru Medium Adhesive Sticker,1189.0,379.0
1429,Libas Printed Women's Anarkali Kurta,1849.0,924.0,Love More Printed Women's Anarkali Kurta,2082.0,1861.0
1430,Gasser Slippers,999.0,299.0,Aerosoft Slippers,830.0,822.0
1431,Love More Printed Women's Flared Kurta,1499.0,1049.0,Love More Printed Women's Straight Kurta,1560.0,1275.0
